feature,coefficient,odds_ratio
Outstanding_Debt_woe,0.6931583969816921,2.000022432969302
Payment_Behaviour_woe,0.6871146142635763,1.9879711861948515
Delay_from_due_date_woe,0.3749015380093801,1.4548481603198506
Interest_Rate_woe,0.3232667807964234,1.3816338951340923
Amount_invested_monthly_woe,0.32076329310658924,1.3781793177360437
Num_Credit_Card_woe,0.25758788294333296,1.2938055094204342
Num_Credit_Inquiries_woe,0.2472132123236011,1.280452091841747
Credit_Mix_woe,0.06667100118448673,1.0689437390928904
Total_EMI_per_month_woe,0.04920796811163552,1.0504387857961486
Credit_History_Age_woe,0.04777261265073896,1.048932114311866
Age_woe,0.03145264583231778,1.0319525071865283
Annual_Income_woe,0.010381507915919672,1.0104355827332725
Num_of_Loan_woe,0.007215437771159136,1.0072415317643806
Num_Bank_Accounts_woe,-0.08081950278822432,0.9223601598577212
Num_of_Delayed_Payment_woe,-0.16320723523423344,0.8494151414278558
Monthly_Inhand_Salary_woe,-0.18811338876059744,0.8285207569645676
Payment_of_Min_Amount_woe,-0.43028176495692366,0.6503258298762817
Changed_Credit_Limit_woe,-1.581626074976371,0.205640439415818
